County,StateFIPS,n_school_districts,n_counties,n_tracts,n_blocks,n_ISPs,zoom_5_5_coverage_pct,fcc_25_3_coverage_pct,other_100_20_coverage_pct,max_MaxAdDown,median_MaxAdDown,mean_MaxAdDown,min_MaxAdDown,std_MaxAdDown,max_MaxAdUp,median_MaxAdUp,mean_MaxAdUp,min_MaxAdUp,std_MaxAdUp,n_LEADIDs
01081,01,4,1,48,377,17,0.9101520600668812,0.788440911098492,0.556438892043662,1000.0,250.0,433.55381008265505,0.0,436.60638984358917,1000.0,25.0,149.41854325194018,0.0,283.92997292267955,4
01083,01,5,1,23,438,15,0.948354522781191,0.7445708376421923,0.424965022203297,2000.0,25.0,405.49155666403067,0.0,475.8790750911456,1000.0,5.0,82.28603960094897,0.0,245.80116649584386,5
01085,01,1,1,4,209,9,0.7030995106035889,0.3099510603588907,0.10929853181076672,1000.0,10.0,111.49516476345839,0.0,291.4846389615017,1000.0,1.0,15.873853181076672,0.0,84.93366491984771,1
01087,01,1,1,12,256,10,0.8533412182140745,0.576581904198699,0.3075103489059728,1000.0,25.0,316.0233140153755,0.0,453.50548565561735,1000.0,3.0,12.950204612655233,0.0,28.52623039813251,1
01089,01,3,1,95,432,23,0.9100162778079218,0.7876288659793814,0.5323494302767228,2000.0,1000.0,660.5256966250678,0.0,677.6560437903282,1000.0,35.0,244.21617436787844,0.0,413.57168849800473,3
01091,01,3,1,8,316,18,0.9140823589222166,0.5160142348754448,0.3210472801220132,1000.0,25.0,158.87080223690901,0.0,300.194915580901,1000.0,3.0,58.43550381291306,0.0,211.78644327047297,3
01093,01,3,1,11,499,10,0.8476567656765677,0.6871287128712872,0.4407920792079208,1000.0,40.0,451.3982172937294,0.0,487.0186769259389,1000.0,4.0,315.7517280528053,0.0,458.904625939152,3
01095,01,5,1,26,406,16,0.9453632604843473,0.816850898658341,0.4611425196185976,1000.0,30.0,465.1716668635558,0.0,486.2801744533333,1000.0,15.0,185.05331600708803,0.0,371.81995821273614,5
01097,01,4,1,134,487,21,0.900902273974273,0.6739620801072974,0.4326647564469914,1200.0,25.0,421.1964918612449,0.0,519.8159203712479,1000.0,5.0,124.50364299213558,0.0,307.64866201944386,4
01099,01,1,1,9,266,12,0.9595170454545454,0.5198863636363636,0.18821022727272727,1200.0,25.0,104.82386363636364,0.0,262.37342942914603,50.0,2.0,7.65944696969697,0.0,13.371947786399973,1
01101,01,3,1,71,345,19,0.8465521299129207,0.7267004000941398,0.5455989644622264,1000.0,1000.0,525.8530136502707,0.0,489.9422483075266,1000.0,35.0,112.15005271828666,0.0,284.7946131156173,3
01103,01,3,1,31,520,18,0.9369517306944385,0.7230456765049047,0.4227129337539432,1000.0,25.0,398.0842086340262,0.0,472.5537958862714,1000.0,5.0,69.49113218962016,0.0,224.05624262514684,3
01105,01,1,1,4,185,10,0.9102844638949672,0.4420131291028446,0.04814004376367615,1000.0,18.0,25.524227571115976,0.0,67.29627995780024,100.0,1.5,6.529304157549234,0.0,20.17032425560247,1
01107,01,1,1,6,313,10,0.80125,0.5875,0.24125,1000.0,25.0,136.6910425,0.0,209.43188284724897,1000.0,3.0,6.95102625,0.0,26.049739190426497,1
01109,01,2,1,11,367,16,0.8555506018724922,0.6870263040570664,0.41261703076237183,1000.0,50.0,405.9850940704414,0.0,476.79492997675334,1000.0,4.0,393.2042884529648,0.0,486.290936957243,2
01111,01,2,1,6,379,10,0.5829439252336449,0.46514797507788164,0.1810747663551402,1000.0,10.0,188.25518535825546,0.0,378.2578026358496,1000.0,1.0,64.5713738317757,0.0,234.9202884759903,2
01113,01,2,1,18,255,12,0.9129478315524827,0.7168447517284726,0.4668447517284727,1000.0,25.0,164.5062658705217,0.0,231.84275414970978,1000.0,5.0,65.70187492143306,0.0,223.01993154087364,2
01115,01,4,1,24,280,16,0.9357873210633947,0.8323108384458078,0.43626448534423995,1200.0,40.0,276.7859261077028,0.0,390.6686444672251,1000.0,10.0,87.20162099522835,0.0,235.70449918618013,4
01117,01,7,1,55,467,18,0.9043638517738433,0.688310406108076,0.36237082867109854,1000.0,25.0,323.23132416244323,0.0,446.85300247037435,1000.0,4.0,58.91056164022905,0.0,207.4686010275355,7
01119,01,1,1,5,228,9,0.8608169440242057,0.44175491679273826,0.28895612708018154,1000.0,18.0,277.00289258698945,0.0,434.4654923925618,1000.0,1.5,16.404986384266262,0.0,43.84931757799516,1
01121,01,4,1,24,471,11,0.8718168366949615,0.6870960205591465,0.394595436492485,1000.0,25.0,386.107923370454,0.0,471.14257357023627,1000.0,4.0,76.45776575033098,0.0,238.91104995680206,4
01123,01,3,1,12,352,13,0.8830811554332875,0.7095696600510906,0.4342699941049322,1000.0,25.0,430.0043073295343,0.0,482.4153647523681,1000.0,4.0,30.575821182943603,0.0,104.09356271861715,3
01125,01,2,1,59,465,17,0.9488871834228703,0.7410590943975441,0.3819646968534152,2000.0,25.0,378.04614689178817,0.0,502.27626879592094,1000.0,4.0,62.557317421335384,0.0,214.07949701245397,2
01127,01,2,1,20,383,11,0.9406272201359992,0.7015122297777326,0.3721709124124632,1000.0,25.0,336.9607238404547,0.0,452.7752134119183,1000.0,4.0,25.717003552217598,0.0,107.27265409094457,2
01129,01,1,1,5,281,8,0.6429199648197009,0.3500439753737907,0.06596306068601583,1000.0,10.0,77.84390501319261,0.0,245.33316403704492,50.0,1.0,4.7512436235708,0.0,12.075893095800156,1
01131,01,1,1,5,257,10,0.9010367577756834,0.4354382657869934,0.23091423185673893,1000.0,18.0,193.62491611687088,0.0,372.7132271723299,1000.0,1.0,107.51921394910461,0.0,296.67046620366256,1
01133,01,2,1,8,357,12,0.8753300088002347,0.618363156350836,0.24229979466119098,1000.0,25.0,237.32885303608097,0.0,404.46546963098353,1000.0,3.0,205.90315400410677,0.0,401.1668585025563,2
02013,02,1,1,1,55,3,0.16901408450704225,0.0,0.0,10.0,4.0,3.9859154929577465,0.0,3.1418509455709556,5.0,1.0,1.419943661971831,0.0,1.67147435250033,1
02016,02,3,1,2,88,4,0.3888888888888889,0.012345679012345678,0.0,30.0,4.0,5.796296296296297,0.0,4.635492217412862,30.0,1.0,3.101086419753086,0.0,4.223232856144022,3
02020,02,1,1,61,357,12,0.8709587254262555,0.7505823162210007,0.6014161930494736,2000.0,100.0,617.8281002515606,0.0,880.5036586333188,1000.0,50.0,47.22700531072393,0.0,41.83625020146473,1
02050,02,5,1,3,442,2,0.9111866969009826,0.0,0.0,10.0,10.0,9.113378684807257,0.0,2.84069711049187,4.0,2.0,1.8832290249433108,0.0,0.6791762817044071,5
02060,02,1,1,1,80,2,0.9090909090909091,0.0,0.0,10.0,10.0,9.090909090909092,0.0,2.8912724941310364,2.0,2.0,1.8181818181818181,0.0,0.5782544988262072,1
02063,02,3,1,2,146,4,0.708029197080292,0.5888077858880778,0.41849148418491483,2000.0,50.0,564.316301703163,0.0,787.5416179181743,1000.0,10.0,170.2603406326034,0.0,360.3229203465218,3
02066,02,3,1,1,154,2,0.9665071770334929,0.9473684210526315,0.23923444976076555,1000.0,50.0,273.9952153110048,0.0,407.5972158791146,1000.0,10.0,246.10047846889952,0.0,423.11028228372294,3
02068,02,1,1,1,120,3,0.6470588235294118,0.3333333333333333,0.05392156862745098,1000.0,20.0,62.675333333333334,0.0,202.59646268413664,100.0,2.0,9.661254901960785,0.0,20.446210518461523,1
02070,02,2,1,2,119,4,0.9372693726937269,0.0,0.0,10.0,10.0,9.37269372693727,0.0,2.4292644318648113,2.0,2.0,1.8745387453874538,0.0,0.4858528863729623,2
02090,02,1,1,22,408,7,0.7934614535012149,0.6010603048376408,0.39474265518003093,2000.0,25.0,792.1069140711288,0.0,968.1707549548274,1000.0,4.0,21.635299315219793,0.0,29.187725248182147,1
02100,02,1,1,1,95,2,0.9813664596273292,0.9813664596273292,0.40372670807453415,200.0,25.0,95.1863354037267,0.0,86.58068527166901,20.0,3.0,9.807453416149068,0.0,8.42282281063652,1
02105,02,3,1,1,78,5,0.7634408602150538,0.6559139784946236,0.3548387096774194,400.0,40.0,67.34408602150538,0.0,95.9476582380929,30.0,8.0,12.56989247311828,0.0,12.163808078345108,3
02110,02,1,1,6,212,6,0.8431061806656102,0.7923930269413629,0.5039619651347068,2000.0,100.0,711.6521394611727,0.0,929.0756341293046,1000.0,30.0,24.847068145800318,0.0,34.52656442786091,1
02122,02,1,1,14,567,8,0.9234493889785566,0.792713857505188,0.5344708323726078,2000.0,150.0,356.1842287295365,0.0,673.9045018616803,300.0,50.0,29.95374129582661,0.0,25.083257526792284,1
02130,02,1,1,5,111,3,0.7699029126213592,0.574757281553398,0.38349514563106796,2000.0,25.0,585.3737864077669,0.0,791.8442884524368,1000.0,10.0,200.59708737864077,0.0,385.69867666988415,1
02150,02,1,1,5,154,3,0.7333333333333333,0.41875,0.3416666666666667,2000.0,10.0,689.1041666666666,0.0,945.3881097527802,50.0,1.0,17.740366666666667,0.0,23.284636297306488,1
02158,02,5,1,1,144,1,0.874251497005988,0.0,0.0,10.0,10.0,8.760479041916168,0.0,3.272605538779446,2.0,2.0,1.7531017964071856,0.0,0.6521707952827931,5
02164,02,1,1,1,146,5,0.495,0.0,0.0,15.0,4.0,5.78,0.0,4.379210823560101,2.0,1.0,1.1879600000000001,0.0,0.8402134201241869,1
02170,02,1,1,24,275,9,0.9714512291831879,0.703674332540312,0.36611155167856196,2000.0,40.0,638.9798255352895,0.0,850.6569115720629,1000.0,15.0,29.30215596087761,0.0,34.94637852830034,1
02180,02,2,1,2,386,2,0.7752081406105458,0.6049953746530989,0.27567067530064754,2000.0,50.0,569.7187789084181,0.0,882.9865800062311,50.0,10.0,17.470127659574466,0.0,20.44513295814631,2
02185,02,1,1,3,229,3,0.21637913115776347,0.19704843067969238,0.0,25.0,0.0,5.391394720432342,0.0,9.813923705172193,10.0,0.0,1.1682128455622531,0.0,1.982207682792776,1
02188,02,1,1,2,145,2,0.515625,0.515625,0.2734375,2000.0,25.0,553.2109375,0.0,889.3531083935751,50.0,3.0,14.4704375,0.0,21.869305812431428,1
02195,02,1,1,1,98,2,0.7860262008733624,0.7860262008733624,0.42358078602620086,2000.0,25.0,856.2227074235808,0.0,982.6744915404166,50.0,3.0,22.266375545851528,0.0,23.851767293720297,1
