LEADID,StateFIPS,n_school_districts,n_counties,n_tracts,n_blocks,n_ISPs,zoom_5_5_coverage_pct,fcc_25_3_coverage_pct,other_100_20_coverage_pct,max_MaxAdDown,median_MaxAdDown,mean_MaxAdDown,min_MaxAdDown,std_MaxAdDown,max_MaxAdUp,median_MaxAdUp,mean_MaxAdUp,min_MaxAdUp,std_MaxAdUp,n_LEADIDs
5302820,53,1,1,37,124,19,0.8529529931699478,0.7920851747689835,0.38790678987545196,1200.0,25.0,357.93039373242266,0.0,517.0394031896983,1000.0,4.0,29.919786661309764,0.0,125.15523247620236,1
5302850,53,1,1,16,295,13,0.9198941544382968,0.4349290353620399,0.21505893673322107,1200.0,20.0,255.23358191003126,0.0,468.0391095653906,1000.0,10.0,17.04070868414722,0.0,68.74753103100876,1
5302880,53,1,2,9,295,16,0.768579492003763,0.6881467544684854,0.3730009407337723,1200.0,25.0,381.90616180620884,0.0,525.4897480521348,940.0,4.0,20.924870178739415,0.0,95.0399219029046,1
5302910,53,1,1,4,297,9,0.6803607214428857,0.3271543086172345,0.14128256513026052,1000.0,20.0,149.86347695390782,0.0,340.8314550119292,1000.0,3.0,26.06883366733467,0.0,134.31497711889955,1
5302940,53,1,1,19,130,14,0.919925013390466,0.8679700053561864,0.45741831815747186,1200.0,80.0,435.07391537225493,0.0,530.2624506489886,940.0,10.0,37.937838243170866,0.0,150.288529292857,1
5302970,53,1,1,6,503,17,0.9483146067415731,0.7471910112359551,0.11123595505617978,10000.0,30.0,150.58755355805243,0.0,729.6328386429396,10000.0,10.0,62.108099625468164,0.0,683.7006193836565,1
5303000,53,1,1,1,519,11,0.9745222929936306,0.8450106157112527,0.18259023354564755,5000.0,25.0,198.34819532908705,0.0,387.3609141669956,5000.0,5.0,179.51469497523001,0.0,395.41966885265344,1
5303030,53,1,1,3,623,11,0.47527472527472525,0.23390894819466249,0.07888540031397175,1000.0,3.0,87.47802197802197,0.0,266.0044027322868,300.0,0.56,4.475379513343799,0.0,11.254089658991305,1
5303090,53,1,1,4,605,11,0.4799726121191373,0.19308456008216365,0.09825402259500171,2000.0,3.0,66.75042793563848,0.0,252.72611810939836,2000.0,0.74,19.76829168093119,0.0,170.47315283898183,1
5303130,53,1,4,4,772,19,0.9422283356258597,0.7494596187856161,0.43721752800157204,1000.0,40.0,448.6176160345844,0.0,483.5969454710942,1000.0,30.0,392.4946087640008,0.0,481.97461927487194,1
